"vtdkey","cntyname","white","black","poverty","pop.density","dem.super","repub.super","vtdkey","cntyname","white","black","poverty","pop.density","dem.super","repub.super"
"482150117","Hidalgo TX","85.3","0","24.8",1.02115989850522,1,0,"480190101","Bandera TX","96.5","0.4","24.2",0.0635294770541297,0,1
"484790227","Webb TX","77.1","0","24.6",0.00672463359283529,1,0,"480190305","Bandera TX","96.5","0.4","24.2",0.034205256634378,0,1
"484391490","Tarrant TX","48.5","27.7","7.6",3.41903253288423,1,0,"480270316","Bell TX","68","23","7.2",1.1575072278033,0,1
"481572138","Fort Bend TX","30.9","20.7","12.1",15.6915817197475,1,0,"480294167","Bexar TX","55.1","22.8","9.3",5.6418464318115,0,1
"481572139","Fort Bend TX","30.9","20.7","12.1",165.656678877732,1,0,"480294178","Bexar TX","53.6","28.1","6.3",133.973911087461,0,1
"484530411","Travis TX","67.1","13.1","20.2",1.26060867530811,1,0,"480410013","Brazos TX","80.6","9.3","20.3",1.52089227719608,0,1
"484790446","Webb TX","85.8","1","14.1",2.8232800124085,1,0,"480610088","Cameron TX","92.7","0","14.4",2.34021137341748,0,1
"484790458","Webb TX","88","0","14.4",0.748992205769212,1,0,"480610089","Cameron TX","92.7","0","14.4",1.01066163238241,0,1
"481134441","Dallas TX","35.7","43","39",8.06607956984515,1,0,"480670017","Cass TX","66.1","32","26.6",0.0471189953521513,0,1
"481134444","Dallas TX","26.4","5.6","32.1",0.934669070410722,1,0,"480690109","Castro TX","89.5","3.5","30.7",0.0492639854150714,0,1
"482730041","Kleberg TX","85.7","2.3","33.4",0.84524005346989,1,0,"480830001","Coleman TX","91.9","0.5","33",0.00548659754462966,0,1
"481132147","Dallas TX","75","13.9","5.3",11.5999306878158,1,0,"480850138","Collin TX","75.1","11.7","4.3",6.02539209402335,0,1
"484394587","Tarrant TX","46.5","12.9","29.2",11.6302331940718,1,0,"481132148","Dallas TX","73.5","9.7","26.5",6.86451868141099,0,1
"484530275","Travis TX","79.1","2.7","26.8",4.16131137131645,1,0,"481430045","Erath TX","89","2","25.7",2.74097927080055,0,1
"484790451","Webb TX","88.5","0.5","30.6",11.1430210481461,1,0,"481430046","Erath TX","89","1.4","27.4",7.15191322829426,0,1
"482150097","Hidalgo TX","81.1","0","29.4",1.34607939614401,1,0,"481430047","Erath TX","89","1.4","27.4",2.17069933131452,0,1
"481572141","Fort Bend TX","50.4","37.7","14.9",19.636764011445,1,0,"481670172","Galveston TX","58.7","34","13.1",0.708522139177603,0,1
"484770122","Washington TX","72.8","21.9","20.1",58.2674862388368,1,0,"481670195","Galveston TX","77.3","9.5","14.4",34.4351628418772,0,1
"484233401","Smith TX","60.1","31.6","10.3",42.7518597441217,1,0,"481670281","Galveston TX","74.8","16.5","4.7",28.670087310124,0,1
"481134423","Dallas TX","74.7","1","21.7",4.13677570418379,1,0,"481890102","Hale TX","84.9","0.8","21",3.01401390990086,0,1
"481133006","Dallas TX","43.2","5.7","25.6",5.29188078671157,1,0,"481890307","Hale TX","77.3","7.1","23.2",5.90206602704179,0,1
"481134442","Dallas TX","55.5","4.6","32.7",2.28413688664265,1,0,"482270014","Howard TX","78.1","3.5","30.3",2.04674149899095,0,1
"484391602","Tarrant TX","54","36.5","19.3",207.59335616627,1,0,"482270022","Howard TX","58.4","2.9","25.4",227.769969313032,0,1
"481133007","Dallas TX","39.4","3.2","29.8",1.27764732009862,1,0,"482270034","Howard TX","78.1","3.5","30.3",0.852825039192851,0,1
"481134445","Dallas TX","27.6","1.1","34",10.5279931841714,1,0,"482270035","Howard TX","75.2","5.1","30",5.56218042009568,0,1
"481133351","Dallas TX","13.8","86.2","27",0.334768677676206,1,0,"482450106","Jefferson TX","25.7","72.6","8.3",20.2215782882011,0,1
"481134434","Dallas TX","79.4","6.9","17.7",1.55161073313204,1,0,"482650119","Kerr TX","77.2","4.5","17.4",1.64563843249635,0,1
"481410156","El Paso TX","79.5","1.9","18.9",0.14305359389322,1,0,"482950308","Lipscomb TX","71.3","1.3","19.3",0.0479563718830394,0,1
"482150140","Hidalgo TX","84.7","0.6","18.5",10.4844479278639,1,0,"482950409","Lipscomb TX","71.3","1.3","19.3",10.6549532103649,0,1
"484790238","Webb TX","76","0","17.6",0.0014759606553961,1,0,"482990307","Llano TX","97.9","0","17.7",0.0913105918558315,0,1
"480850154","Collin TX","69.9","14.7","7.6",81.6139383445618,1,0,"483030117","Lubbock TX","79.7","1.9","10.2",91.7760918778708,0,1
"481134427","Dallas TX","86.5","6.7","25",2.88281876224171,1,0,"483030122","Lubbock TX","77.6","8.3","23.2",4.82596524081605,0,1
"484530455","Travis TX","71.6","1.7","10.7",2.3358080034117,1,0,"483030131","Lubbock TX","79.7","1.9","10.2",1.7523485516657,0,1
"482150127","Hidalgo TX","88.1","0","18.8",0.952139751436616,1,0,"483610033","Orange TX","98.3","0","17.8",1.00513370198494,0,1
"484790250","Webb TX","78.4","0","18.7",0.0382815127324171,1,0,"483610034","Orange TX","94.5","0","17.8",0.120943452829895,0,1
"482470005","Jim Hogg TX","72.9","0","16.6",7.68152801685835,1,0,"483630024","Palo Pinto TX","81.6","1","16.3",8.00666149474468,0,1
"481134635","Dallas TX","13.9","6.7","10.9",5.211203483685,1,0,"483630025","Palo Pinto TX","93.4","4.8","11.1",4.13054462261991,0,1
"484394432","Tarrant TX","69.8","21.5","59",8.1615853580201,1,0,"483750121","Potter TX","68.3","15.9","48.2",1.08444990238272,0,1
"480292128","Bexar TX","68.7","6.2","32.7",1.50385889257584,1,0,"483750126","Potter TX","75.6","9.3","31.2",1.19783743051141,0,1
"484790405","Webb TX","86.7","0","45",2.03426813437628,1,0,"483810123","Randall TX","84","2.7","35.7",0.055427945126471,0,1
"481410157","El Paso TX","89.6","2.5","37.9",0.0181996271456076,1,0,"483810306","Randall TX","84","2.7","35.7",0.00770171726123513,0,1
"482150110","Hidalgo TX","78.8","0","20.9",1.08675436249556,1,0,"483810309","Randall TX","86.1","1.5","20.8",0.271262072926356,0,1
"484530242","Travis TX","82.5","2.5","7.9",1.20068734773682,1,0,"483810417","Randall TX","87.6","2.2","7.7",0.885977404126505,0,1
"481410167","El Paso TX","85.9","1.8","7.5",4.28751931973042,1,0,"483810421","Randall TX","89.6","1.6","7.7",4.27606201209467,0,1
"481133005","Dallas TX","43.2","5.7","25.6",13.4003621631615,1,0,"483990002","Runnels TX","88.4","4.5","26.7",11.9875432523891,0,1
"482010697","Harris TX","35.1","32.5","14.5",1.8569471295746,1,0,"484010201","Rusk TX","62.2","33.4","15.2",0.522500008772759,0,1
"483510022","Newton TX","73.4","26.6","10.5",0.0311678842797784,1,0,"484010213","Rusk TX","67.6","26.3","9.6",0.0321940718181975,0,1
"484230067","Smith TX","60.1","31.6","10.3",1.14690957278903,1,0,"484010404","Rusk TX","62","29.4","12.7",1.11475237379345,0,1
"480294177","Bexar TX","34.3","34.6","47.2",35.1931855930102,1,0,"484230072","Smith TX","25.7","69.7","40.6",44.5313303108379,0,1
"484770126","Washington TX","69.4","22.6","15.2",287.032010517457,1,0,"484393539","Tarrant TX","87.9","1.3","1.5",335.282361087102,0,1
"484392451","Tarrant TX","79.9","13.6","12.2",24.2692895924464,1,0,"484393623","Tarrant TX","76","8.5","7.8",26.4494090059989,0,1
"481134435","Dallas TX","80.3","5.5","19.5",2.35516631745901,1,0,"484410102","Taylor TX","84.9","6.8","19.4",0.840441743726726,0,1
"480510202","Burleson TX","81.5","8.6","13.3",2.66680153905403,1,0,"484410103","Taylor TX","83.9","7.6","12.1",1.26206274155161,0,1
"481134439","Dallas TX","63.6","20","34.7",1.04740069796622,1,0,"484410406","Taylor TX","69.1","18.4","29.6",0.199055770205521,0,1
"481133012","Dallas TX","55","0.3","23.5",7.98385488233183,1,0,"484510146","Tom Green TX","83.2","2","21.6",8.75040808062714,0,1
"481133805","Dallas TX","24.1","64.8","20.6",1.44694168308677,1,0,"484730312","Waller TX","44.9","42.9","23.5",0.108192155720369,0,1
"484530431","Travis TX","46.6","16.6","27.5",1.2141627404918,1,0,"484730415","Waller TX","74","17.1","27.8",0.076861909634984,0,1
"481670338","Galveston TX","40.2","54.2","10.1",0.742145909419028,1,0,"484770115","Washington TX","59.5","35.1","14.5",0.0928444490741939,0,1
"484392403","Tarrant TX","53.9","13.9","37.3",123.143366466402,1,0,"484770124","Washington TX","78.4","16.9","21.4",126.363738615545,0,1
"484770116","Washington TX","78.4","16.9","21.4",1.38140707195628,1,0,"484770205","Washington TX","78.4","16.9","21.4",0.82210764363851,0,1
"481133355","Dallas TX","70.3","21.4","13.6",5.53442545984497,1,0,"484770307","Washington TX","69.4","22.6","15.2",1.19798445042251,0,1
"482010869","Harris TX","54.1","31.8","28.5",17.600450773489,1,0,"484770423","Washington TX","78.4","16.9","21.4",15.8891578469997,0,1
"484391245","Tarrant TX","60.4","18","24.3",4.29556604826661,1,0,"484770430","Washington TX","78.4","16.9","21.4",5.12766566840133,0,1
"484810202","Wharton TX","79.3","12.3","9.9",0.0220444047093902,1,0,"484810201","Wharton TX","79.3","12.3","9.9",0.0154030120811218,0,1
